Japon;Petits;A;Simbala
Côte d’Ivoire;Petits;A;Hamza
Algérie;Petits;A;Taha
Écosse;Petits;A;Qays
Canada;Petits;B;Kylian
Sénégal;Petits;B;Mamadou
Tunisie;Petits;B;Amadou
Corée du Sud;Petits;B;Sacha
Espagne;Moyens;A;Seif
Turquie;Moyens;A;Zako
Argentine;Moyens;A;Mahame
Brésil;Moyens;A;Lamyne
Norvège;Moyens;B;Bougou
France;Moyens;B;Sinane
Pays-Bas;Moyens;B;Amara
États-Unis;Moyens;B;Modibo
Colombie;Grands;A;
Portugal;Grands;A
RD Congo;Grands;A
Maroc;Grands;A
Mexique;Grands;A
